headword_iast	headword_slp1	entry_id	page	body
ajina	ajina	102	004-b	"{#ajina#}¦ {%n.%} (ut mihi videtur, ab {#aja#} caper s. {#ina#} sicut gr. <lang n=""greek"">αἰγίς</lang> ab <lang n=""greek"">ἌΙΓ</lang>) pellis, nebris. BH. 6.11."
ajihma	ajihma	103	004-b	{#ajihma#}¦ ({%KARM.%} ex {#a#} priv. et {#jihma#}) non curvus.
ajihmaga	ajihmaga	104	004-b	{#ajihmaga#}¦ ({%KARM.%} e praec. et {#ga#} a r. {#gA#} s. {#a#}) 1) non flexuose iens. 2) {%m.%} sagitta.
ajīvita	ajIvita	105	004-b	{#ajIvita#}¦ {%n.%} ({%KARM.%} ex {#a#} priv. et {#jovita#} {%n.%} vita, a r. {#jIv#} s. {#ta#}) mors. BR. 2.31.
ajñātavāsa	ajYAtavAsa	106	004-b	{#ajYAtavAsa#}¦ (ex {#ajYAta#} a r. {#jYA#}, et {#vAsa#} habitatio) 1) {%m.%} {%KARM.%} incognita habitatio. IN. 5.57. 2) {%Adj. BAH.%} incognitam habitationem habens, hinc {%Adv.%} {#ajYAtavAsam#} incognitâ habitatione. NA. 15.20. 25.11.
añc	aYc	107	004-b	1. {#aYc#}¦ 1. {%P. A.%} (grammatici scribunt etiam {#ac#}, gr. 110^{%a%}).) 1) ire, in compositis ut {#prAc#}, quod in casibus fortibus sonat {#prAYc#}, v. gr. 196. sq. 2) venerari, colere. — {#aYcita#} 1) erectus, {%de pilis%}, v. apud Wils. {#romAYcita#} «{%having the hair of the body erect, considered as a proof of exquisite pleasure, enraptured, delighted%}». 2) pulcher, {%de oculis, palpebris et superciliis%}, ubi primitive item «erectus» significare videtur: N. 12.45. {#aYcitekzaRa#} pulchros oculos habens; RAGH. 5.76. {#aYcitAkzipakzman#} pulchras oculorum palpebras habens (Comment. Calc. {#aYcitAni sundarARi akznor netrayor pakzmARi yasya#}); {#aYcitaBrU#} {%f.%} Wils. ed. 2. «{%a woman having beautifull eye brows%}».
añc	aYc	108	004-b	2. {#aYc#}¦ 10. {%P.%} ({#vyaktAyAm vAci#} {%K.%} {#vyaktO#} {%V.%}) clare, distincte loqui.
añcala	aYcala	109	004-b	{#aYcala#}¦ {%n.%} (r. {#aYc#} s. {#ala#}) finis, margo vestis. HIT. 83.8.
añcita	aYcita	110	004-b	{#aYcita#}¦ v. 1. {#aYc#}.
añcitapatrākṣa	aYcitapatrAkza	111	004-b	{#aYcitapatrAkza#}¦ ({%BAH.%} ex {#aYcitapatra#} pulchra folia habens, quod hoc in composito lotum florem significare videtur, et {#akza#} oculus) loto similes oculos habens. SU. 3.25. [Page005-a+ 37] Confirmari possit conjectura mea lectione ed. Calc. {#aYcitapadmAkza#} i. e. pulchro loto similes oculos habens. Fortasse tamen genuina lectio est {#aYcitapakzmAkza#} i. e. pulchris palpebris praeditos oculos habens; cf. supra memoratum {#aYcitAkzipakzman#}.
añch	aYC	112	005-a	{#aYC#}¦ 1. {%P.%} ({#AyAme#}, grammatici scribunt {#aC#}, gr. 110^{%a%}).) longum esse.
añj	aYj	113	005-a	"{#aYj#}¦ 7. 10. {%P.%} ({#anajmi, aYjayAmi; aYj#} 10. a grammaticis scribitur {#aj#}) 1) ire, v. {#aYjas#}. 2) splendere. 3) oblinere, ungere, {%praesertim%} cl. 10. MAN. 4.44.: {#aYjayantI svake netre#} oblinens oculos suos (lat. {%ungo%}). <div n=""pfx"">c. {#vi#} {%Caus.%} 1) manifestare, arguere. MAN. 10.38. {%Pass.%} {#vyajyate#} (gr. 503. 538.). HIT. 103.20. 2) creare. MAN. 1.6."
añjana	aYjana	114	005-a	{#aYjana#}¦ {%n.%} collyrium. HIT. 74.4.
añjali	aYjali	115	005-a	{#aYjali#}¦ {%m.%} manuum junctio, implicatio (Wils. explicat: {%The cavity formed by putting the hands together and hollowing the palms, as if to receive water, etc.%}).
añjas	aYjas	116	005-a	{#aYjas#}¦ {%n.%} (r. {#aYj#} s. {#as#}) celeritas. SA. 6.44. instr. {#aYjasA#} {%Adv.%} celeriter.
aṭ	aw	117	005-a	"{#aw#}¦ 1. {%P. A.%} ire, incedere, ambulare. RAM. ed. Ser. III.52.18.: {#awanti rAjamArgezu kuYjarAH#} incedunt in regiis viis elephanti; III.70.63.: {#mfgayAm awate#} venatum it; N. 2.13. 10.1.: {#awamAna#}. <div n=""pfx"">c. {#pari#} circumgredi. HIT. 42.13."
aṭana	awana	118	005-a	{#awana#}¦ {%n.%} (r. {#aw#} s. {#ana#}) ambulatio, iter, peregrinatio. HIT. 28.108.
aṭavī	awavI	119	005-a	{#awavI#}¦ {%f.%} sylva. HIT. 41.1.
aṭṭ	aww	120	005-a	1. {#aww#}¦ 1. {%A.%} ({#atikrame#} {%K.%} {#atikrame, vaDe#} {%V.%}) superare, occidere.
aṭṭ	aww	121	005-a	2. {#aww#}¦ 10. {%P.%} ({#anAdare#} {%K.%}) despicere, vilipendere.
aṭṭahāsa	awwahAsa	122	005-a	{#awwahAsa#}¦ {%m.%} (ex {#awwa#} multus - a r. {#aw#} s. {#a#} - et {#hAsa#} risus) risus vehemens, cachinnus, hinnitus. DEV. 2.31. 9.21.
aṭṭāla	awwAla	123	005-a	{#awwAla#}¦ {%m.%} palatium.
aṭṭālaka	awwAlaka	124	005-a	{#awwAlaka#}¦ {%m.%} (a praec. s. {#ka#}) ut videtur i. q. {#awwAla#} vel {#awwAlikA#}; secundum Wils. «{%a room on the top of a house%}». A. 10.3. ubi {#awwAla#} pro {#adAla#} scribendum.
aṭṭālikā	awwAlikA	125	005-b	{#awwAlikA#}¦ {%f.%} secundum Wils. «{%a palace, an upper roomed house%}».
aṭh	aW	126	005-b	{#aW#}¦ 1. {%P.%} ({#gatO#}) ire.
aḍ	aq	127	005-b	1. {#aq#}¦ 1. {%P.%} ({#udyame#}) operam dare, adniti.
aḍ	aq	128	005-b	2. {#aq#}¦ 5. {%P.%} ({#vyApane#}) occupare.
aḍḍ	aqq	129	005-b	{#aqq#}¦ 1. {%P.%} ({#aBiyoge#}) niti, contendere, petere.
