headword_iast	headword_slp1	entry_id	page	body
agotracaraṇa	agotracaraRa	119	1-283-a	{#agotracaraRa#}¦ <lex>Adj.</lex> {%ohne Geschlechter und Schulen%} <ls>AGNI-P. 1,18</ls>.
agopa	agopa	120	1-283-a	<hom>1.</hom> {#*agopa#}¦ <lex>m.</lex> {%kein Kuhhirt%} <ls>P. 2,2,14</ls>, <ab>Sch.</ab>
agopa	agopa	121	1-283-a	<hom>2.</hom> {#agopa#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#A#}) {%hirtenlos%}.
agorasa	agorasa	122	1-283-a	{#agorasa#}¦ <lex>Adj.</lex> {%ohne Milch%} <ls>HEMĀDRI 1,639,14</ls>.
agaupavana	agOpavana	123	1-283-a	{#agOpavana#}¦ <lex>m.</lex> {%kein%} <is>Gaupavana</is> <ls>KĀTY. ŚR. 10,2,21</ls>.
agnāviṣṇu	agnAvizRu	124	1-283-a	{#agnA/vi/zRu#}¦ <ls>ŚAT. BR. 12,1,3,1</ls>.
agnika	agnika	125	1-283-a	{#agnika#}¦ 4〉 = {#Agnika#} 2〉 <ls>PAÑCAD.</ls>
agnija	agnija	126	1-283-a	{#agnija/#}¦ 1〉 <ls>MAITR. S. 3,7,5</ls>.
agnijvāla	agnijvAla	127	1-283-a	{#agnijvAla#}¦ <lex>Adj.</lex> {%wie Feuer flammend%} <ls>HEMĀDRI 1,206,16</ls>.
agnidaiva	agnidEva	128	1-283-a	{#agnidEva#}¦ <lex>Adj.</lex> <is>Agni</is> {%zur Gottheit habend%}. {#Ba#} {%das Mondhaus%} <is>Kṛttikā</is> <ls>HEMĀDRI 1,792,18</ls>.
agnipūjā	agnipUjA	129	1-283-a	{#agnipUjA#}¦ <lex>f.</lex> {%Verehrung des Feuers%} <ls>ĀPAST.</ls>
agnimaya	agnimaya	130	1-283-a	{#agnima/ya#}¦ <ls>ŚAT. BR. 10,5,3,11</ls>.
agnimukha	agnimuKa	131	1-283-a	"{#agni/muKa#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#I#}) <is>Agni</is> {%zum Munde habend%} <ls>ŚAT. BR. 7,1,2,4</ls>. <ls n=""ŚAT. BR."">13,4,1,12</ls>."
agniraja	agniraja	132	1-283-a	{#agniraja#}¦ vielleicht fehlerhäft für {#agnirejaH#} {%bewegliches Feuer%}.
agnirūpa	agnirUpa	133	1-283-a	"{#agnirU/pa#}¦ <lex>n.</lex> {%eine Form des Feuers%} <ls>ŚAT. BR. 6,1,3,18</ls>. [Page1-283-b] <ls n=""ŚAT. BR. 6,1,3,"">19</ls>."
agnivetāla	agnivetAla	134	1-283-b	{#agnivetAla#}¦ <lex>m.</lex> <ab>N. pr.</ab> eines <is>Vetāla</is> <ls>Ind. St. 15,273</ls>.
agniśikha	agniSiKa	135	1-283-b	"{#agniSiKa#}¦ 2〉e〉 <ab>N. pr.</ab> eines <is>Vetāla</is> <ls>KATHĀS. 121,23</ls>. <ls n=""KATHĀS. 121,"">203. fgg.</ls>"
agniṣṭut	agnizwut	136	1-283-b	{#agnizwu/t#}¦ <ls>ŚAT. BR. 13,7,1,3</ls>.
agniṣṭoma	agnizwoma	137	1-283-b	{#agnizwoma#}¦ 3〉 = {#amnizwut#} 2〉 <ls>VP.² 1,177. fgg.</ls>
agniṣṭha	agnizWa	138	1-283-b	{#agnizWa/#}¦ 1〉a〉 <ls>ŚAT. BR. 3,7,2,4</ls>.
agnisparśa	agnisparSa	139	1-283-b	{#agnisparSa#}¦ <lex>Adj.</lex> (<lex>f.</lex> {#A#}) {%glühend heiss%} <ls>ĀPAST.</ls>
agnihuta	agnihuta	140	1-283-b	{#agnihuta#}¦ <lex>Adj.</lex> {%im Feuer geopfert%} <ls>VAITĀN.</ls>
agnihotra	agnihotra	141	1-283-b	<hom>1.</hom> {#agnihotra#}¦ 1〉 {#˚devatA#} <lex>f.</lex> <ls>ĀŚV. GṚHY. 1,2,2</ls>. <ab>Nom. abstr.</ab> {#˚tva/#} <lex>n.</lex> <ls>MAITR. S. 1,8,1</ls>.
agnihotrin	agnihotrin	142	1-283-b	{#agnihotri/n#}¦ <ls>ŚAT. BR. 11,3,1,5</ls>.
agnihvara	agnihvara	143	1-283-b	{#agnihvara/#}¦ <lex>Adj.</lex> etwa {%beim Feuer(-Opfer) fehlgehend,%} <ab>d. h.</ab> {%keinen Theil erlangend%} <ls>MAITR. S. 1,3,35</ls>.
agnīvaruṇa	agnIvaruRa	144	1-283-b	"{#agnI/va/ruRa#}¦ <ls>ŚAT. BR. 4,4,5,17</ls>. <ls n=""ŚAT. BR. 4,4,5,"">19</ls>."
agnyagāra	agnyagAra	145	1-283-b	{#agnyagAra/#}¦ <ls>ŚAT. BR. 13,4,1,8</ls>.
agnyarcis	agnyarcis	146	1-283-b	{#agnyarci/s#}¦ <lex>f.</lex> oder <lex>n.</lex> {%Feuerflamme%} <ls>ŚAT. BR. 14,5,3,10</ls>.
agnyādheya	agnyADeya	147	1-283-b	{#agnyADeya#}, {#˚devatA#}¦ <lex>f.</lex> <ls>PĀR. GṚHY. 1,2,9</ls>.
agnyādheyadevatā	agnyADeyadevatA	147.1	1-283-b	{{Lbody=147}}
agnyutpāta	agnyutpAta	148	1-283-b	{#agnyutpAta#}¦ {%Feuersbrunst%} <ls>PĀR. GṚHY. 2,11,2</ls>.
agra	agra	149	1-283-b	"{#agra#}¦ <lex>n.</lex> auch {%Rest%} <ls>LĪLĀV. 133</ls>. {#˚ka#} <lex>n.</lex> <ab>dass.</ab> <ls n=""LĪLĀV."">134</ls>."
agragaṇanā	agragaRanA	150	1-283-b	{#agragaRanA#}¦ <lex>f.</lex> {%das obenan Stellen, — Stehen%} <ls><ab>Comm.</ab> zu NAIṢ. 1,53</ls>.
